Name,Difficulty,Distance,elevation_gain,route_type,hiking,views,nature trips,walking,birding,wild flowers,forest,wildlife,trail running,dogs on leash,kid friendly,mountain biking,lake,dog friendly,river,horseback riding,no dogs,camping,snowshoeing,backpacking,waterfall,fishing,off road driving,cross country skiing,scenic driving,rock climbing,road biking,wheelchair friendly,skiing,historic site,cave,city walk,paddle sports,hot springs,rails trails,beach,location,stars
Lake Isabelle Trail,EASY,4.5,462,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian Peaks Wilderness,4.8
First and Second Flatiron Hike,HARD,2.5,1423,Loop,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Boulder Open Space,4.5
Quandary Peak Trail,HARD,6.0,3320,Out & Back,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,White River National Forest,4.6
The Loch Lake Trail,MODERATE,5.4,1072,Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.7
Booth Falls Trail,HARD,3.9,1361,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.5
Lost Lake via Hessie Trail,MODERATE,4.1,869,Loop,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian Peaks Wilderness,4.5
Diamond Lake Trail,MODERATE,5.6,1240,Out & Back,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.7
Herman Gulch Trail,MODERATE,6.3,1755,Out & Back,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Arapaho National Forest,4.6
Alberta Falls Trail,EASY,1.6,252,Out & Back,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.4
Ouzel Falls Trail,MODERATE,5.0,948,Out & Back,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.6
Mount Galbraith Loop via Cedar Gulch Trail,MODERATE,4.0,928,Loop,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mount Galbraith Park,4.1
Horsetooth Falls and Horsetooth Rock Trail,MODERATE,5.7,1584,Loop,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Horsetooth Mountain Park,4.4
McCullough Gulch Trail ,MODERATE,6.2,1578,Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,White River National Forest,4.6
Ice Lake Basin Trail,HARD,8.1,3093,Loop,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,San Juan National Forest,4.9
Chasm Lake,MODERATE,7.7,2522,Out & Back,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.7
Rattlesnake Gulch Trail,MODERATE,3.4,961,Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eldorado Canyon State Park,4.4
St. Mary's Falls Trail,MODERATE,6.3,1397,Out & Back,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Cheyenne Cañon Park,4.4
Bear Peak Trail,HARD,7.7,2847,Loop,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boulder Open Space,4.6
Chicago Lakes Trail,HARD,8.7,1860,Out & Back,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Echo Lake Park,4.6
"Sand Canyon, Mesa, Greenlee, Red Rock Canyon Loop",EASY,5.1,885,Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Red Rock Canyon Open Space,4.3
Crater Lakes Trail via Moffat Tunnel East Portal Trailhead,HARD,6.5,1804,Out & Back,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.6
Crater Lake Trail,MODERATE,3.8,688,Out & Back,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maroon Bells Snowmass Wilderness,4.6
Alderfer Three Sisters Trail,EASY,6.7,1200,Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alderfer / Three Sisters Park,4.3
Blue Lakes Trail,HARD,7.9,2519,Out & Back,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mount Sneffels Wilderness,4.9
Chief Mountain Trail,EASY,3.1,984,Out & Back,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.6
Bear Lake Nature Trail,EASY,0.7,49,Loop,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.4
Silver Dollar Lake and Murray Lake Trail,MODERATE,3.9,1062,Out & Back,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.6
Grays and Torrey's Peak,MODERATE,7.7,3562,Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.7
Eldorado Canyon Trail,MODERATE,6.2,1945,Out & Back,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eldorado Canyon State Park,4.3
Green Mountain Loop,HARD,5.7,2798,Loop,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boulder Open Space,4.5
"Mills Lake, Black Lake, Frozen Lake Trail",MODERATE,11.0,2529,Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.8
Apex Park Enchanted Forest Trail and Pick N' Sledge Trail,MODERATE,6.7,1473,Loop,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Apex Open Space Park,4.2
Twin Sisters Peak Trail,HARD,7.5,2516,Out & Back,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.6
Spruce Creek Trail to Mohawk Lake and Continental Falls,MODERATE,6.0,1712,Loop,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.6
Red Rocks Trail,MODERATE,5.8,1181,Out & Back,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matthews Winters Park,4.1
Green Mountain West Trail,MODERATE,2.5,675,Out & Back,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boulder Open Space,4.5
Red Rocks Trading Post Trail,EASY,1.5,357,Loop,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red Rocks Park,4.2
Blue Lake and Little Blue Lake Via Mitchell Lake Trail,MODERATE,6.1,1404,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.8
Loch Lomond Trail,MODERATE,4.6,895,Out & Back,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.4
Button Rock Preserve: Sleepy Lion Trail,MODERATE,5.4,921,Loop,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt/Arapaho National Forest,4.4
Deer Mountain Trail,MODERATE,5.6,1400,Out & Back,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.5
Mountain Lion Trail,MODERATE,6.6,1581,Loop,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Golden Gate Canyon State Park,4.4
Catamount Falls Trail,MODERATE,6.4,1702,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.5
Mallory Cave,MODERATE,2.4,803,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Boulder Open Space,4.2
Palmer Trail (Section 16),MODERATE,5.8,1289,Loop,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear Creek Cañon Park,4.4
Coyote Song Trail Loop,EASY,3.0,321,Loop,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South Valley Park,4.2
Shrine Ridge Trail,MODERATE,4.0,961,Out & Back,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.7
Mount Cutler Trail,EASY,1.7,472,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Cheyenne Cañon Park,4.4
Lake Haiyaha,MODERATE,3.6,846,Out & Back,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.7
Lily Pad Lake Trail,EASY,3.3,396,Out & Back,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Eagles Nest Wilderness,4.3
Spruce Mountain Trail,MODERATE,5.5,600,Loop,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spruce Mountain Open Space,4.4
The Crags Trail,MODERATE,4.8,820,Out & Back,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.7
Walker Ranch Loop Trail,HARD,7.3,1761,Loop,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Walker Ranch Park,4.6
Dream Lake Trail,MODERATE,2.0,452,Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.7
Arapahoe Pass and Lake Dorothy Trail,MODERATE,7.1,1942,Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.8
Longs Peak Trail,HARD,15.7,5114,Out & Back,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Rocky Mountain National Park,4.8
Fern Lake Trail,MODERATE,7.1,1453,Out & Back,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.4
North Mount Elbert Trail,HARD,10.3,4442,Out & Back,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Mount Massive Wilderness,4.7
Bierstadt Lake Loop Trail,MODERATE,3.2,620,Loop,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.4
Greyrock Trail,HARD,7.1,2421,Loop,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.5
Meadowlark Plymouth Creek and Plymouth Mountain Trail Loop,MODERATE,6.0,1309,Loop,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deer Creek Canyon Park,4.3
Independence Mountain Trail at Pence Park,MODERATE,2.3,761,Out & Back,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pence Park,4.4
Beaver Brook Trail,HARD,11.1,1952,Loop,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Windy Saddle Open Space Park,4.3
North Table Mountain and Rim Rock Loop,MODERATE,8.3,1125,Loop,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,North Table Mountain Park,4.0
Mount Morrison South Ridge Trail,HARD,3.2,1856,Out & Back,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matthews Winters Park,4.4
Mount Muscoco Trail,MODERATE,3.7,1289,Out & Back,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Cheyenne Cañon Park,4.6
Butler Gulch Trail,HARD,4.9,1502,Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Arapaho National Forest,4.6
Fish Creek Falls Trail,HARD,4.7,1450,Out & Back,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Medicine Bow-Routt National Forest,4.6
Arthur's Rock Trail,HARD,2.8,1105,Out & Back,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles A Lory State Park,4.5
Raccoon Trail,MODERATE,4.0,754,Loop,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Golden Gate Canyon State Park,4.3
Parmalee Trail Loop,MODERATE,3.0,554,Loop,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mount Falcon Park,4.2
Bear Creek Trail,MODERATE,4.5,1092,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bear Creek Preserve,4.7
Lily Mountain Trail,MODERATE,3.6,1240,Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Roosevelt/Arapaho National Forest,4.4
Rocks and Vistas Garden of the Gods Trail,EASY,4.0,593,Loop,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Garden of the Gods,4.3
Devils Thumb Pass and King Lake Trail,HARD,15.0,3533,Loop,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian Peaks Wilderness,4.7
Red Rocks Trail,EASY,1.3,393,Loop,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boulder Open Space,4.1
Bridal Veil Falls via Cow Creek Trail,MODERATE,6.0,994,Out & Back,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.4
Mayflower Gulch Grand Traverse,MODERATE,5.9,1463,Loop,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,White River National Forest,4.6
Goose Creek Trail 612 to McCurdy Trail ,MODERATE,12.4,2257,Out & Back,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lost Creek Wilderness,4.5
Carpenter Peak Trail,MODERATE,6.0,1013,Out & Back,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Roxborough State Park,4.3
Dakota Ridge and Red Rocks Trail Loop,MODERATE,7.4,1538,Loop,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South Dinosaur Park,4.0
Waterton Canyon Trail,EASY,12.4,688,Out & Back,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chatfield State Park,4.1
Forsythe Canyon to Waterfall and Gross Reservoir,EASY,2.2,387,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.2
Adams Falls Trail,EASY,0.7,98,Loop,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.5
North Ten Mile Creek Trail,MODERATE,6.5,889,Out & Back,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.4
Nightbird Gulch Trail to Mount Galbraith Loop,MODERATE,4.7,1243,Loop,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mount Galbraith Park,4.2
Cub Lake Trail Loop,MODERATE,6.0,744,Loop,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.3
Devil's Backbone Nature Trail,EASY,4.3,564,Out & Back,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Devil's Backbone Open Space,4.1
Monarch Lake Loop Trail,MODERATE,4.2,223,Loop,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.5
Conundrum Creek Trail to Conundrum Hot Springs,HARD,16.7,2791,Out & Back,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,White River National Forest,4.8
Ceran Saint Vrain Trail,EASY,3.5,318,Out & Back,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.5
Mount Herman Trail,MODERATE,2.1,895,Out & Back,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.3
Lake Gulch Trail Loop,EASY,1.7,200,Loop,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Castlewood Canyon State Park,4.3
Eagle's View Trail Loop,MODERATE,4.2,1082,Loop,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reynolds Ranch County Park,4.5
Flattop Mountain Trail,HARD,8.2,2870,Out & Back,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.7
Chimney Gulch Trail from Highway 6,HARD,6.4,1742,Out & Back,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Colorow Mountain Park,4.1
Garden of the Gods Loop Trail,EASY,3.7,416,Loop,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Garden of the Gods,4.4
Heart Lake via Rogers Pass Trail,HARD,8.9,2680,Out & Back,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.6
Missouri Lakes Trail,MODERATE,7.2,1581,Out & Back,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holy Cross Wilderness,4.8
Bear Creek and Bruin Bluff Trail ,MODERATE,14.6,2280,Out & Back,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lair o' the Bear Park,4.1
