Name,Difficulty,Distance,Elevation Gain,Route Type,hiking,views,nature trips,walking,birding,wild flowers,forest,wildlife,trail running,dogs on leash,kid friendly,mountain biking,lake,dog friendly,river,horseback riding,no dogs,camping,snowshoeing,backpacking,waterfall,fishing,off road driving,cross country skiing,scenic driving,rock climbing,road biking,wheelchair friendly,skiing,historic site,cave,city walk,paddle sports,hot springs,rails trails,beach
Horsetooth Falls and Horsetooth Rock Trail,MODERATE,5.7 miles,"1,584 feet",Loop,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McCullough Gulch Trail ,MODERATE,6.2 miles,"1,578 feet",Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ice Lake Basin Trail,HARD,8.1 miles,"3,093 feet",Loop,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chasm Lake,MODERATE,7.7 miles,"2,522 feet",Out & Back,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rattlesnake Gulch Trail,MODERATE,3.4 miles,961 feet,Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Mary's Falls Trail,MODERATE,6.3 miles,"1,397 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear Peak Trail,HARD,7.7 miles,"2,847 feet",Loop,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago Lakes Trail,HARD,8.7 miles,"1,860 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sand Canyon, Mesa, Greenlee, Red Rock Canyon Loop",EASY,5.1 miles,885 feet,Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Crater Lakes Trail via Moffat Tunnel East Portal Trailhead,HARD,6.5 miles,"1,804 feet",Out & Back,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crater Lake Trail,MODERATE,3.8 miles,688 feet,Out & Back,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alderfer Three Sisters Trail,EASY,6.7 miles,"1,200 feet",Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Lakes Trail,HARD,7.9 miles,"2,519 feet",Out & Back,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chief Mountain Trail,EASY,3.1 miles,984 feet,Out & Back,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear Lake Nature Trail,EASY,0.7 miles,49 feet,Loop,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silver Dollar Lake and Murray Lake Trail,MODERATE,3.9 miles,"1,062 feet",Out & Back,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Grays and Torrey's Peak,MODERATE,7.7 miles,"3,562 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Eldorado Canyon Trail,MODERATE,6.2 miles,"1,945 feet",Out & Back,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Mountain Loop,HARD,5.7 miles,"2,798 feet",Loop,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mills Lake, Black Lake, Frozen Lake Trail",MODERATE,11.0 miles,"2,529 feet",Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Apex Park Enchanted Forest Trail and Pick N' Sledge Trail,MODERATE,6.7 miles,"1,473 feet",Loop,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Twin Sisters Peak Trail,HARD,7.5 miles,"2,516 feet",Out & Back,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spruce Creek Trail to Mohawk Lake and Continental Falls,MODERATE,6.0 miles,"1,712 feet",Loop,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Rocks Trail,MODERATE,5.8 miles,"1,181 feet",Out & Back,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Mountain West Trail,MODERATE,2.5 miles,675 feet,Out & Back,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Rocks Trading Post Trail,EASY,1.5 miles,357 feet,Loop,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Lake and Little Blue Lake Via Mitchell Lake Trail,MODERATE,6.1 miles,"1,404 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Loch Lomond Trail,MODERATE,4.6 miles,895 feet,Out & Back,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Button Rock Preserve: Sleepy Lion Trail,MODERATE,5.4 miles,921 feet,Loop,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deer Mountain Trail,MODERATE,5.6 miles,"1,400 feet",Out & Back,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain Lion Trail,MODERATE,6.6 miles,"1,581 feet",Loop,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catamount Falls Trail,MODERATE,6.4 miles,"1,702 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mallory Cave,MODERATE,2.4 miles,803 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Palmer Trail (Section 16),MODERATE,5.8 miles,"1,289 feet",Loop,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coyote Song Trail Loop,EASY,3.0 miles,321 feet,Loop,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrine Ridge Trail,MODERATE,4.0 miles,961 feet,Out & Back,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barr Trail to Pikes Peak,HARD,21.3 miles,"7,401 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Cutler Trail,EASY,1.7 miles,472 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Haiyaha,MODERATE,3.6 miles,846 feet,Out & Back,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lily Pad Lake Trail,EASY,3.3 miles,396 feet,Out & Back,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spruce Mountain Trail,MODERATE,5.5 miles,600 feet,Loop,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Crags Trail,MODERATE,4.8 miles,820 feet,Out & Back,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Walker Ranch Loop Trail,HARD,7.3 miles,"1,761 feet",Loop,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dream Lake Trail,MODERATE,2.0 miles,452 feet,Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arapahoe Pass and Lake Dorothy Trail,MODERATE,7.1 miles,"1,942 feet",Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longs Peak Trail,HARD,15.7 miles,"5,114 feet",Out & Back,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Fern Lake Trail,MODERATE,7.1 miles,"1,453 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Mount Elbert Trail,HARD,10.3 miles,"4,442 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bierstadt Lake Loop Trail,MODERATE,3.2 miles,620 feet,Loop,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greyrock Trail,HARD,7.1 miles,"2,421 feet",Loop,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meadowlark Plymouth Creek and Plymouth Mountain Trail Loop,MODERATE,6.0 miles,"1,309 feet",Loop,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence Mountain Trail at Pence Park,MODERATE,2.3 miles,761 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaver Brook Trail,HARD,11.1 miles,"1,952 feet",Loop,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
North Table Mountain and Rim Rock Loop,MODERATE,8.3 miles,"1,125 feet",Loop,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mount Morrison South Ridge Trail,HARD,3.2 miles,"1,856 feet",Out & Back,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mount Muscoco Trail,MODERATE,3.7 miles,"1,289 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler Gulch Trail,HARD,4.9 miles,"1,502 feet",Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fish Creek Falls Trail,HARD,4.7 miles,"1,450 feet",Out & Back,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Arthur's Rock Trail,HARD,2.8 miles,"1,105 feet",Out & Back,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raccoon Trail,MODERATE,4.0 miles,754 feet,Loop,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Parmalee Trail Loop,MODERATE,3.0 miles,554 feet,Loop,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear Creek Trail,MODERATE,4.5 miles,"1,092 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lily Mountain Trail,MODERATE,3.6 miles,"1,240 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maroon Bells-Snowmass Wilderness Loop,HARD,29.1 miles,"7,933 feet",Loop,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocks and Vistas Garden of the Gods Trail,EASY,4.0 miles,593 feet,Loop,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Devils Thumb Pass and King Lake Trail,HARD,15.0 miles,"3,533 feet",Loop,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Rocks Trail,EASY,1.3 miles,393 feet,Loop,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridal Veil Falls via Cow Creek Trail,MODERATE,6.0 miles,994 feet,Out & Back,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayflower Gulch Grand Traverse,MODERATE,5.9 miles,"1,463 feet",Loop,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Flatirons Vista Trail,EASY,3.5 miles,285 feet,Loop,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goose Creek Trail 612 to McCurdy Trail ,MODERATE,12.4 miles,"2,257 feet",Out & Back,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carpenter Peak Trail,MODERATE,6.0 miles,"1,013 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dakota Ridge and Red Rocks Trail Loop,MODERATE,7.4 miles,"1,538 feet",Loop,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waterton Canyon Trail,EASY,12.4 miles,688 feet,Out & Back,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forsythe Canyon to Waterfall and Gross Reservoir,EASY,2.2 miles,387 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams Falls Trail,EASY,0.7 miles,98 feet,Loop,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Ten Mile Creek Trail,MODERATE,6.5 miles,889 feet,Out & Back,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nightbird Gulch Trail to Mount Galbraith Loop,MODERATE,4.7 miles,"1,243 feet",Loop,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cub Lake Trail Loop,MODERATE,6.0 miles,744 feet,Loop,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devil's Backbone Nature Trail,EASY,4.3 miles,564 feet,Out & Back,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monarch Lake Loop Trail,MODERATE,4.2 miles,223 feet,Loop,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Conundrum Creek Trail to Conundrum Hot Springs,HARD,16.7 miles,"2,791 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ceran Saint Vrain Trail,EASY,3.5 miles,318 feet,Out & Back,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Herman Trail,MODERATE,2.1 miles,895 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Gulch Trail Loop,EASY,1.7 miles,200 feet,Loop,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Eagle's View Trail Loop,MODERATE,4.2 miles,"1,082 feet",Loop,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flattop Mountain Trail,HARD,8.2 miles,"2,870 feet",Out & Back,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chimney Gulch Trail from Highway 6,HARD,6.4 miles,"1,742 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garden of the Gods Loop Trail,EASY,3.7 miles,416 feet,Loop,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart Lake via Rogers Pass Trail,HARD,8.9 miles,"2,680 feet",Out & Back,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Missouri Lakes Trail,MODERATE,7.2 miles,"1,581 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear Creek and Bruin Bluff Trail ,MODERATE,14.6 miles,"2,280 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Ida Trail,HARD,9.2 miles,"2,375 feet",Out & Back,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chautauqua Trail,EASY,1.2 miles,419 feet,Out & Back,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helen Hunt Falls Trail,EASY,0.1 miles,6 feet,Out & Back,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cascade Falls,EASY,7.4 miles,675 feet,Out & Back,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hells Hole Trail,MODERATE,7.9 miles,"1,912 feet",Out & Back,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
