,Name,Difficulty,Distance,Elevation Gain,Route Type,hiking,views,nature trips,walking,birding,wild flowers,forest,wildlife,trail running,dogs on leash,kid friendly,mountain biking,lake,dog friendly,river,horseback riding,no dogs,camping,snowshoeing,backpacking,waterfall,fishing,off road driving,cross country skiing,scenic driving,rock climbing,road biking,wheelchair friendly,skiing,historic site,cave,city walk,paddle sports,hot springs,rails trails,beach,location,stars,Unnamed: 0,link
30,St. Mary's Falls Trail,MODERATE,6.3 miles,"1,397 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Cheyenne Cañon Park,4.4,30,https://www.alltrails.com/trail/us/colorado/st-marys-falls-trail?ref=result-card
31,Bear Peak Trail,HARD,7.7 miles,"2,847 feet",Loop,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boulder Open Space,4.6,31,https://www.alltrails.com/trail/us/colorado/bear-peak-trail?ref=result-card
32,Chicago Lakes Trail,HARD,8.7 miles,"1,860 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Echo Lake Park,4.6,32,https://www.alltrails.com/trail/us/colorado/chicago-lakes-trail?ref=result-card
33,"Sand Canyon, Mesa, Greenlee, Red Rock Canyon Loop",EASY,5.1 miles,885 feet,Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Red Rock Canyon Open Space,4.3,33,https://www.alltrails.com/trail/us/colorado/sand-canyon-mesa-greenlee-red-rock-canyon-loop?ref=result-card
34,Crater Lakes Trail via Moffat Tunnel East Portal Trailhead,HARD,6.5 miles,"1,804 feet",Out & Back,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.6,34,https://www.alltrails.com/trail/us/colorado/crater-lakes-trail?ref=result-card
35,Crater Lake Trail,MODERATE,3.8 miles,688 feet,Out & Back,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maroon Bells Snowmass Wilderness,4.6,35,https://www.alltrails.com/trail/us/colorado/crater-lake-trail?ref=result-card
36,Alderfer Three Sisters Trail,EASY,6.7 miles,"1,200 feet",Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alderfer / Three Sisters Park,4.3,36,https://www.alltrails.com/trail/us/colorado/alderfer-three-sisters-trail?ref=result-card
37,Blue Lakes Trail,HARD,7.9 miles,"2,519 feet",Out & Back,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mount Sneffels Wilderness,4.9,37,https://www.alltrails.com/trail/us/colorado/blue-lakes-trail?ref=result-card
38,Chief Mountain Trail,EASY,3.1 miles,984 feet,Out & Back,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.6,38,https://www.alltrails.com/trail/us/colorado/chief-mountain-trail?ref=result-card
39,Bear Lake Nature Trail,EASY,0.7 miles,49 feet,Loop,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.4,39,https://www.alltrails.com/trail/us/colorado/bear-lake--2?ref=result-card
40,Silver Dollar Lake and Murray Lake Trail,MODERATE,3.9 miles,"1,062 feet",Out & Back,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.6,40,https://www.alltrails.com/trail/us/colorado/silver-dollar-lake-ad-murray-lake-trail?ref=result-card
41,Grays and Torrey's Peak,MODERATE,7.7 miles,"3,562 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.7,41,https://www.alltrails.com/trail/us/colorado/grays-and-torreys-peak?ref=result-card
42,Eldorado Canyon Trail,MODERATE,6.2 miles,"1,945 feet",Out & Back,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eldorado Canyon State Park,4.3,42,https://www.alltrails.com/trail/us/colorado/eldorado-canyon-state-park?ref=result-card
43,Green Mountain Loop,HARD,5.7 miles,"2,798 feet",Loop,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boulder Open Space,4.5,43,https://www.alltrails.com/trail/us/colorado/green-mountain-loop?ref=result-card
44,"Mills Lake, Black Lake, Frozen Lake Trail",MODERATE,11.0 miles,"2,529 feet",Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.8,44,https://www.alltrails.com/trail/us/colorado/mills-lake-black-lake-frozen-lake-trail?ref=result-card
45,Apex Park Enchanted Forest Trail and Pick N' Sledge Trail,MODERATE,6.7 miles,"1,473 feet",Loop,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Apex Open Space Park,4.2,45,https://www.alltrails.com/trail/us/colorado/apex-park-enchanted-forest-trail?ref=result-card
46,Twin Sisters Peak Trail,HARD,7.5 miles,"2,516 feet",Out & Back,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.6,46,https://www.alltrails.com/trail/us/colorado/twin-sisters-peak-trail?ref=result-card
47,Spruce Creek Trail to Mohawk Lake and Continental Falls,MODERATE,6.0 miles,"1,712 feet",Loop,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.6,47,https://www.alltrails.com/trail/us/colorado/spruce-creek-trail-to-mohawk-lake-and-continental-falls?ref=result-card
48,Red Rocks Trail,MODERATE,5.8 miles,"1,181 feet",Out & Back,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matthews Winters Park,4.1,48,https://www.alltrails.com/trail/us/colorado/matthews-winters-park?ref=result-card
49,Green Mountain West Trail,MODERATE,2.5 miles,675 feet,Out & Back,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boulder Open Space,4.5,49,https://www.alltrails.com/trail/us/colorado/green-mountain-west-trail?ref=result-card
50,Red Rocks Trading Post Trail,EASY,1.5 miles,357 feet,Loop,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red Rocks Park,4.2,50,https://www.alltrails.com/trail/us/colorado/red-rocks-trading-post-trail?ref=result-card
51,Blue Lake and Little Blue Lake Via Mitchell Lake Trail,MODERATE,6.1 miles,"1,404 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.8,51,https://www.alltrails.com/trail/us/colorado/blue-lake-and-little-blue-lake-via-mitchell-lake-trail?ref=result-card
52,Loch Lomond Trail,MODERATE,4.6 miles,895 feet,Out & Back,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.4,52,https://www.alltrails.com/trail/us/colorado/loch-lomond?ref=result-card
53,Button Rock Preserve: Sleepy Lion Trail,MODERATE,5.4 miles,921 feet,Loop,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt/Arapaho National Forest,4.4,53,https://www.alltrails.com/trail/us/colorado/button-rock-preserve-sleepy-lion-trail?ref=result-card
54,Deer Mountain Trail,MODERATE,5.6 miles,"1,400 feet",Out & Back,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.5,54,https://www.alltrails.com/trail/us/colorado/deer-mountain-trail?ref=result-card
55,Mountain Lion Trail,MODERATE,6.6 miles,"1,581 feet",Loop,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Golden Gate Canyon State Park,4.4,55,https://www.alltrails.com/trail/us/colorado/mountain-lion-trail?ref=result-card
56,Catamount Falls Trail,MODERATE,6.4 miles,"1,702 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.5,56,https://www.alltrails.com/trail/us/colorado/catamount-falls-trail?ref=result-card
57,Mallory Cave,MODERATE,2.4 miles,803 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Boulder Open Space,4.2,57,https://www.alltrails.com/trail/us/colorado/mallory-cave?ref=result-card
58,Palmer Trail (Section 16),MODERATE,5.8 miles,"1,289 feet",Loop,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear Creek Cañon Park,4.4,58,https://www.alltrails.com/trail/us/colorado/palmer-trail?ref=result-card
59,Coyote Song Trail Loop,EASY,3.0 miles,321 feet,Loop,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South Valley Park,4.2,59,https://www.alltrails.com/trail/us/colorado/coyote-song-trail-loop?ref=result-card
60,Shrine Ridge Trail,MODERATE,4.0 miles,961 feet,Out & Back,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.7,60,https://www.alltrails.com/trail/us/colorado/shrine-ridge-trail?ref=result-card
61,Barr Trail to Pikes Peak,HARD,21.3 miles,"7,401 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.6,61,https://www.alltrails.com/trail/us/colorado/barr-trail-to-pikes-peak?ref=result-card
62,Mount Cutler Trail,EASY,1.7 miles,472 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Cheyenne Cañon Park,4.4,62,https://www.alltrails.com/trail/us/colorado/mt-cutler-trail?ref=result-card
63,Lake Haiyaha,MODERATE,3.6 miles,846 feet,Out & Back,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.7,63,https://www.alltrails.com/trail/us/colorado/lake-haiyaha?ref=result-card
64,Lily Pad Lake Trail,EASY,3.3 miles,396 feet,Out & Back,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Eagles Nest Wilderness,4.3,64,https://www.alltrails.com/trail/us/colorado/lily-pad-lake-trail?ref=result-card
65,Spruce Mountain Trail,MODERATE,5.5 miles,600 feet,Loop,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spruce Mountain Open Space,4.4,65,https://www.alltrails.com/trail/us/colorado/spruce-mountain-trail?ref=result-card
66,The Crags Trail,MODERATE,4.8 miles,820 feet,Out & Back,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.7,66,https://www.alltrails.com/trail/us/colorado/the-crags-trail--5?ref=result-card
67,Walker Ranch Loop Trail,HARD,7.3 miles,"1,761 feet",Loop,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Walker Ranch Park,4.6,67,https://www.alltrails.com/trail/us/colorado/walker-ranch-loop?ref=result-card
68,Dream Lake Trail,MODERATE,2.0 miles,452 feet,Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.7,68,https://www.alltrails.com/trail/us/colorado/dream-lake-trail?ref=result-card
69,Arapahoe Pass and Lake Dorothy Trail,MODERATE,7.1 miles,"1,942 feet",Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.8,69,https://www.alltrails.com/trail/us/colorado/arapahoe-pass-and-lake-dorothy-trail?ref=result-card
70,Longs Peak Trail,HARD,15.7 miles,"5,114 feet",Out & Back,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Rocky Mountain National Park,4.8,70,https://www.alltrails.com/trail/us/colorado/longs-peak-trail?ref=result-card
71,Fern Lake Trail,MODERATE,7.1 miles,"1,453 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.4,71,https://www.alltrails.com/trail/us/colorado/fern-lake-trail?ref=result-card
72,North Mount Elbert Trail,HARD,10.3 miles,"4,442 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Mount Massive Wilderness,4.7,72,https://www.alltrails.com/trail/us/colorado/north-mount-elbert-trail?ref=result-card
73,Bierstadt Lake Loop Trail,MODERATE,3.2 miles,620 feet,Loop,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.4,73,https://www.alltrails.com/trail/us/colorado/bierstadt-lake-loop-trail?ref=result-card
74,Greyrock Trail,HARD,7.1 miles,"2,421 feet",Loop,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.5,74,https://www.alltrails.com/trail/us/colorado/greyrock-trail?ref=result-card
75,Meadowlark Plymouth Creek and Plymouth Mountain Trail Loop,MODERATE,6.0 miles,"1,309 feet",Loop,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deer Creek Canyon Park,4.3,75,https://www.alltrails.com/trail/us/colorado/meadowlark-plymouth-creek-and-plymouth-mountain-trail-loop?ref=result-card
76,Independence Mountain Trail at Pence Park,MODERATE,2.3 miles,761 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pence Park,4.4,76,https://www.alltrails.com/trail/us/colorado/independence-mountain-trail-at-pence-park?ref=result-card
77,Beaver Brook Trail,HARD,11.1 miles,"1,952 feet",Loop,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Windy Saddle Open Space Park,4.3,77,https://www.alltrails.com/trail/us/colorado/beaver-brook-trail?ref=result-card
78,North Table Mountain and Rim Rock Loop,MODERATE,8.3 miles,"1,125 feet",Loop,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,North Table Mountain Park,4.0,78,https://www.alltrails.com/trail/us/colorado/north-table-mountain-and-rim-rock-loop?ref=result-card
